Make,Model,Vehicle Class,Engine Size(L),Cylinders,Transmission,Fuel Type,Fuel Consumption City (L/100 km),Fuel Consumption Hwy (L/100 km),Fuel Consumption Comb (L/100 km),Fuel Consumption Comb (mpg),CO2 Emissions(g/km)
BMW,M240i Coupe,SUBCOMPACT,0.28,0.23076923076923078,AS8,Z,0.2727272727272727,0.24698795180722885,0.26363636363636367,0.3103448275862069,0.31690140845070425
NISSAN,Frontier,PICKUP TRUCK - SMALL,0.41333333333333333,0.23076923076923078,A5,X,0.3977272727272726,0.37951807228915657,0.39090909090909093,0.1896551724137931,0.4765258215962441
AUDI,S4 QUATTRO,COMPACT,0.28,0.23076923076923078,M6,Z,0.36363636363636365,0.3012048192771084,0.3454545454545454,0.22413793103448276,0.4154929577464789
PORSCHE,CAYMAN S,TWO-SEATER,0.3333333333333333,0.23076923076923078,AM7,Z,0.2689393939393939,0.23493975903614459,0.25909090909090915,0.3103448275862069,0.3145539906103286
VOLVO,V90 T5,STATION WAGON - MID-SIZE,0.14666666666666667,0.07692307692307693,AS8,Z,0.22348484848484845,0.18072289156626506,0.2090909090909091,0.3620689655172414,0.2535211267605634
JAGUAR,XJR  LWB,FULL-SIZE,0.5466666666666666,0.38461538461538464,AS8,Z,0.43939393939393934,0.37951807228915657,0.41818181818181827,0.1724137931034483,0.5093896713615024
MITSUBISHI,RVR,SUV - SMALL,0.14666666666666667,0.07692307692307693,AV6,X,0.20833333333333326,0.2289156626506024,0.21363636363636368,0.3620689655172414,0.2535211267605634
MASERATI,LEVANTE S,SUV - STANDARD,0.28,0.23076923076923078,AS8,Z,0.4772727272727272,0.5060240963855421,0.48181818181818187,0.13793103448275862,0.5868544600938967
HYUNDAI,SANTA FE SPORT,SUV - SMALL,0.2,0.07692307692307693,AS6,X,0.2613636363636363,0.27710843373493965,0.26818181818181824,0.29310344827586204,0.3262910798122065
DODGE,Journey AWD,SUV - SMALL,0.36,0.23076923076923078,A6,X,0.39015151515151514,0.36144578313253006,0.37727272727272737,0.20689655172413796,0.460093896713615
CADILLAC,CT4 AWD,COMPACT,0.14666666666666667,0.07692307692307693,AS8,Z,0.2348484848484848,0.20481927710843376,0.2272727272727273,0.3448275862068965,0.27464788732394363
LEXUS,NX 300h AWD,SUV - SMALL,0.21333333333333332,0.07692307692307693,AV6,X,0.11363636363636365,0.23493975903614459,0.1545454545454546,0.46551724137931033,0.18779342723004697
GMC,Acadia,SUV - STANDARD,0.36,0.23076923076923078,A6,X,0.33712121212121204,0.32530120481927705,0.33181818181818185,0.24137931034482757,0.4037558685446009
BMW,330i xDRIVE GRAN TURISMO,FULL-SIZE,0.14666666666666667,0.07692307692307693,AS8,Z,0.2386363636363636,0.20481927710843376,0.2272727272727273,0.3448275862068965,0.27464788732394363
TOYOTA,TACOMA,PICKUP TRUCK - SMALL,0.24000000000000005,0.07692307692307693,AS6,X,0.2954545454545454,0.36144578313253006,0.3181818181818182,0.24137931034482757,0.38732394366197176
MITSUBISHI,LANCER 4WD,COMPACT,0.2,0.07692307692307693,AV6,X,0.22727272727272724,0.2289156626506024,0.2272727272727273,0.3448275862068965,0.2676056338028169
MAZDA,MAZDA2,COMPACT,0.08000000000000002,0.07692307692307693,A4,X,0.15909090909090906,0.17469879518072287,0.1636363636363637,0.44827586206896547,0.19014084507042253
JAGUAR,F-TYPE CONVERTIBLE,TWO-SEATER,0.28,0.23076923076923078,AS8,Z,0.29166666666666663,0.2710843373493975,0.28636363636363643,0.27586206896551724,0.34272300469483563
FORD,FOCUS RS AWD,MID-SIZE,0.18666666666666665,0.07692307692307693,M6,Z,0.303030303030303,0.3012048192771084,0.3045454545454546,0.25862068965517243,0.3661971830985915
BMW,440i xDrive Coupe,COMPACT,0.28,0.23076923076923078,M6,Z,0.33333333333333326,0.2710843373493975,0.31363636363636366,0.25862068965517243,0.3779342723004695
AUDI,S4,COMPACT,0.28,0.23076923076923078,M6,Z,0.3939393939393939,0.3493975903614458,0.37727272727272737,0.20689655172413796,0.4436619718309859
HYUNDAI,ACCENT,COMPACT,0.09333333333333335,0.07692307692307693,M6,X,0.17045454545454541,0.13855421686746985,0.15909090909090912,0.44827586206896547,0.18779342723004697
BMW,440i COUPE,COMPACT,0.28,0.23076923076923078,M6,Z,0.2992424242424242,0.24698795180722885,0.2818181818181819,0.27586206896551724,0.3380281690140845
INFINITI,Q50 AWD,MID-SIZE,0.37333333333333335,0.23076923076923078,AS7,Z,0.3181818181818181,0.2831325301204818,0.3045454545454546,0.25862068965517243,0.35680751173708913
MERCEDES-BENZ,C 300 4MATIC,COMPACT,0.14666666666666667,0.07692307692307693,AS7,Z,0.22348484848484845,0.2289156626506024,0.22272727272727277,0.3448275862068965,0.2605633802816901
PORSCHE,911 Targa 4 GTS,MINICOMPACT,0.28,0.23076923076923078,M7,Z,0.34090909090909083,0.31325301204819267,0.33181818181818185,0.24137931034482757,0.39906103286384975
JAGUAR,XKR CONVERTIBLE,MINICOMPACT,0.5466666666666666,0.38461538461538464,AS6,Z,0.4431818181818181,0.4156626506024096,0.43636363636363634,0.1724137931034483,0.5140845070422535
BMW,M3,COMPACT,0.28,0.23076923076923078,AM7,Z,0.3522727272727272,0.35542168674698793,0.35454545454545455,0.22413793103448276,0.431924882629108
HYUNDAI,Accent,COMPACT,0.09333333333333335,0.07692307692307693,M6,X,0.13636363636363635,0.12650602409638553,0.13181818181818183,0.5,0.16901408450704228
LAND ROVER,LR2,SUV - SMALL,0.14666666666666667,0.07692307692307693,AS6,Z,0.3522727272727272,0.35542168674698793,0.35454545454545455,0.22413793103448276,0.4178403755868545
